Prenom;Nom;Societe;Site;Departement;Service;fonction;Manager-Prenom;Manager-Nom;Nom de PC;Marque PC;Date de naissance;Telephone fixe;Telephone portable;Télétravail;IpPhone
Elif;Andersen;EcoTechSolutions;Bordeaux;Direction_financière;Finance;Conseiller en fiscalité;Liam;Rodriguez;PA31320;LENOVO;22/08/1982;534567890;-;-;1001
Arnaud;Aubry;MAD TECH;;DSI;Exploitation;Technicien d'exploitation;Yara;Tsai;-;-;-;-;-;-;1002
Salma;Bianchi;EcoTechSolutions;Bordeaux;DRH;Responsable_recrutement;Responsable recrutement;Emir;Rizzo;PA20618;HP;10/05/1992;510987654;784105738;-;1003
Marina;Brun;EcoTechSolutions;Bordeaux;Service_commercial;;Directeur commercial;Emir;Rizzo;PA90233;TOSHIBA;12/05/1997;534567890;734442721;-;1004
Tara;Costa;EcoTechSolutions;Bordeaux;Direction_financière;Service_comptabilite;Comptable;Liam;Rodriguez;PA56314;DELL;26/05/2000;587654321;-;-;1005
Tina;Demir;EcoTechSolutions;Bordeaux;Service_commercial;ADV;Gestionnaire ADV;Amir;Gómez;PA64810;DELL;16/11/1984;587654321;621673896;-;1006
Farah;Dimielsky;EcoTechSolutions;Bordeaux;Communication;Relation_médias;Chargée relation presse;Wassim;Ibrahimovic;PA99009;DELL;16/11/1994;587654321;643567057;-;1007
Hugo;Dimitrov;EcoTechSolutions;Bordeaux;Développement;;Directeur Développement;Emir;Rizzo;PA93655;TOSHIBA;21/09/1998;512345678;730413931;Non;1008
Cleo;Dupont;EcoTechSolutions;Bordeaux;Communication;Communication_interne;Community manager;Wassim;Ibrahimovic;PA19149;DELL;14/05/1989;556789012;736672209;Non;1009
Saïd;El-Mohamed;EcoTechSolutions;Bordeaux;Service_commercial;B2B;Commercial;Iko;Loubert;PA76210;DELL;13/03/2002;570632036;658923304;Non;1010
Marco;Esperanza;EcoTechSolutions;Bordeaux;Service_commercial;B2B;Commercial;Iko;Loubert;PA22136;DELL;24/08/1997;570523901;766193384;Non;1011
Zara;Fernandez;UBIHard;Paris;Développement;Test_et_qualite;Développeur;Hugo;Dimitrov;-;-;-;-;-;Non;1012
Alexis;Fischer-Drumond;EcoTechSolutions;Bordeaux;Direction_financière;Finance;Controleur de gestion;Liam;Rodriguez;PA57512;HP;28/11/1986;545678901;-;Non;1013
Damien;Galais-Cohen;MAD TECH;;DSI;Exploitation;Technicien d'exploitation;Yara;Tsai;-;-;-;-;-;-;1014
Boris;Garcia;EcoTechSolutions;Bordeaux;Communication;Communication_interne;Community manager;Wassim;Ibrahimovic;PA11094;DELL;01/01/1991;576543210;710630503;Non;1015
Amir;Gómez;EcoTechSolutions;Bordeaux;Service_commercial;ADV;Responsable ADV;Marina;Brun;PA16564;DELL;16/07/1988;512345678;697336293;Non;1016
Gita;Hassania-Laurentis;EcoTechSolutions;Bordeaux;Service_commercial;B2B;Commercial;Iko;Loubert;PA82880;DELL;18/08/1991;534567890;655939808;Non;1017
Val;Hernandez;EcoTechSolutions;Bordeaux;Service_commercial;Service_client;Agent;Enzo;Morin;PA39395;DELL;25/01/1985;545678901;-;Non;1018
Petra;Hoàng;EcoTechSolutions;Bordeaux;Développement;Développement;Développeur;Hugo;Dimitrov;PA33002;TOSHIBA;17/05/1991;587654321;749534624;Non;1019
Wassim;Ibrahimovic;EcoTechSolutions;Bordeaux;Communication;;Directrice Communication et Relations publiques;Emir;Rizzo;PA68385;DELL;14/11/1994;567890123;628752957;Non;1020
Marilyn;Jacques-Sébastien;MAD TECH;;DSI;Exploitation;Technicien d'exploitation;Yara;Tsai;-;-;-;-;-;;1021
David;Johansson;EcoTechSolutions;Bordeaux;Service_commercial;ADV;Gestionnaire ADV;Amir;Gómez;PA16353;DELL;19/11/2001;512345678;763236659;Non;1022
Joseph;Kali;EcoTechSolutions;Bordeaux;Service_commercial;B2B;Commercial;Iko;Loubert;PA66952;DELL;17/04/2001;544250369;694223605;Non;1023
Dario;Kim;EcoTechSolutions;Bordeaux;Direction_financière;Finance;Analyste financier;Liam;Rodriguez;PA34551;TOSHIBA;21/10/1992;532109876;-;Non;1024
Sasha;Kumar-Sandros;EcoTechSolutions;Bordeaux;Service_commercial;Service_client;Agent;Enzo;Morin;PA79817;DELL;23/09/1994;587654321;-;Non;1025
Jean;Le Floch;EcoTechSolutions;Bordeaux;Service_commercial;B2B;Commercial;Iko;Loubert;PA94032;DELL;22/08/1991;571586100;684032215;Non;1026
Marwan;Leclerc;EcoTechSolutions;Bordeaux;DSI;Exploitation;Technicien d'exploitation;Yara;Tsai;PA21577;DELL;02/08/1995;576543210;687340310;Non;1027
Carmen;Lesbih;EcoTechSolutions;Bordeaux;Développement;analyse_et_conception;Développeur;Hugo;Dimitrov;PA90613;HP;12/10/1993;-;-;Non;1028
Iko;Loubert;EcoTechSolutions;Bordeaux;Service_commercial;B2B;Responsable B2B;Marina;Brun;PA60359;DELL;29/07/1992;599403657;725919216;Non;1029
Enzo;Morin;EcoTechSolutions;Bordeaux;Service_commercial;Service_achat;Responsable achat;Marina;Brun;PA19149;DELL;26/08/1988;556789012;696228844;Non;1030
Diego;Müller;UBIHard;Paris;Développement;Test_et_qualite;Développeur;Hugo;Dimitrov;-;-;-;512345678;619087602;Non;1031
Felix;Nguyen;EcoTechSolutions;Bordeaux;Communication;Communication_interne;Chargé en droit de la communication;Wassim;Ibrahimovic;PA88356;DELL;03/11/1982;512345678;747070420;Non;1032
Marco;Nikolić;EcoTechSolutions;Bordeaux;Service_commercial;ADV;Gestionnaire ADV;Amir;Gómez;PA37602;DELL;10/11/1987;576543210;606722898;Non;1033
Aya;Orozco;EcoTechSolutions;Bordeaux;Service_commercial;Service_achat;Acheteur;Enzo;Morin;PA59874;DELL;30/03/1991;540987654;690730213;Non;1034
Nikos;Papadopoulos;EcoTechSolutions;Bordeaux;Développement;Test_et_qualite;Développeur;Hugo;Dimitrov;PA83940;LENOVO;23/12/1986;576543210;628631838;Non;1035
Mila;Pereira;EcoTechSolutions;Bordeaux;Direction_financière;Service_comptabilite;Comptable;Liam;Rodriguez;PA30790;HP;14/08/1987;534567890;-;Non;1036
Lia;Prado;EcoTechSolutions;Bordeaux;Développement;Recherche_et_prototype;Développeur;Hugo;Dimitrov;PA27339;HP;11/03/1992;510987654;704209714;Non;1037
Noa;Ramos;UBIHard;Paris;Développement;Test_et_qualite;Développeur;Hugo;Dimitrov;-;-;-;-;-;Non;1038
Emir;Rizzo;EcoTechSolutions;Bordeaux;Direction;CEO;CEO;;;PA12959;TOSHIBA;09/05/1985;587654321;653791741;Non;1039
Liam;Rodriguez;EcoTechSolutions;Bordeaux;Direction_financière;Finance;Directeur financier;Emir;Rizzo;PA68867;HP;18/10/1992;545678901;648462640;Non;1040
Oscar;Rossi;EcoTechSolutions;Bordeaux;Communication;Communication_interne;Chargé de communication;Wassim;Ibrahimovic;PA10218;DELL;17/06/1993;510987654;707561174;Non;1041
Juliette;Sabine;EcoTechSolutions;Bordeaux;Service_commercial;B2B;Commercial;Iko;Loubert;PA05632;DELL;13/05/1997;588402356;625334590;Non;1042
Kai;Sato;EcoTechSolutions;Bordeaux;DRH;Agent_RH;Agent RH;Salma;Bianchi;PA66766;HP;31/07/1986;545678901;-;Non;1043
Ivan;Schmidt;Studio Dlight;Nantes;Communication;Relation_médias;Monteur;Wassim;Ibrahimovic;-;-;-;-;684213048;Non;1044
Amara;Silva;EcoTechSolutions;Bordeaux;Direction_financière;Finance;Controleur de gestion;Liam;Rodriguez;PA12959;TOSHIBA;05/05/1995;545678901;-;Non;1045
Rayan;Sousa;EcoTechSolutions;Bordeaux;Communication;Relation_médias;Chargée relation presse;Wassim;Ibrahimovic;PA76764;DELL;10/08/1988;534567890;732836175;Non;1046
Leo;Tanaka;EcoTechSolutions;Bordeaux;Direction;Assistant_de_direction;Assistant de direction;Emir;Rizzo;PA75792;TOSHIBA;12/12/1998;532109876;757172438;Non;1047
Ahmed;Torres;EcoTechSolutions;Bordeaux;Développement;Recherche_et_prototype;Développeur;Hugo;Dimitrov;PA82471;HP;17/11/1993;540987654;653178244;Non;1048
Yara;Tsai;EcoTechSolutions;Bordeaux;DSI;;Responsable SI;Emir;Rizzo;PA85785;DELL;31/10/1990;532109876;663073894;Non;1049
Daan;Varela;EcoTechSolutions;Bordeaux;Service_commercial;Service_achat;Acheteur;Enzo;Morin;PA16013;DELL;29/04/1999;556789012;654606027;Non;1050
Paolo;Weber;EcoTechSolutions;Bordeaux;Communication;Relation_médias;Rédacteur;Wassim;Ibrahimovic;PA92969;DELL;17/11/1992;532109876;655605121;Non;1051
Iker;Yilmaz;EcoTechSolutions;Bordeaux;Direction_financière;Service_comptabilite;Comptable;Liam;Rodriguez;PA68447;LENOVO;11/06/1998;576543210;-;Non;1052
Mateo;Zhang;EcoTechSolutions;Bordeaux;DSI;Exploitation;Technicien d'exploitation;Yara;Tsai;PA76820;DELL;20/10/2001;512345678;673124437;Non;1053
